Basin,Combination,PBIAS,CC,RMSE,ME,ME1,MAE,MAPE
2181900,CKF_5114_S,262.42679777206996,0.9765534031120938,4.848847253385713,1.6299837644219328,16.845447951435027,3.106604187333161,64.30816841445196
2181900,MCL_5114_S,312.1342424275017,0.9817866474155795,4.480432809824555,1.938726348819229,16.827286622941074,3.5267387831199106,55.95343336753602
2181900,MSD_5114_S,810.7268621985024,0.9493400289901661,8.384876524950744,5.03558186123986,17.01049727181899,6.5040458403853965,82.730450120728
2181900,PR_5211_S,144.49055230068473,0.9809975354409876,4.206966785313124,0.8974588584776775,16.897203396796154,2.9067326485841924,39.0802433807933
2181900,CKF_5211_S,361.83090247997177,0.9278025046205883,8.305833946176152,2.247401947954797,16.8157365934608,4.464226037989467,53.63882326215047
2181900,MCL_5211_S,,,,,,,
2181900,MSD_5211_S,456.49312016037675,0.9616074080884923,6.448809722820767,2.8353673510050217,16.819213336913005,4.775073855334272,66.65205976641516
2181900,PR_5212_S,134.48922098665327,0.9750474959738151,4.797079168761475,0.8353386489454367,16.90294560103864,3.633295324177167,61.166624578200214
2181900,CKF_5212_S,554.843804834055,0.9434733119007287,7.871570602138889,3.446242538291015,16.837392937889675,5.218478157552962,75.29988949432557
2181900,MCL_5212_S,,,,,,,
2181900,MSD_5212_S,484.9098297367889,0.9494940813646913,7.299061334979072,3.0118690483967456,16.823662959536318,5.6010407019859185,77.18881343244159
2181900,PR_5213_S,107.26038923767703,0.9867576381668803,3.4893872333994236,0.6662150912455251,16.918578871078118,2.509625908435906,40.9602956912104
2181900,CKF_5213_S,348.1379145347533,0.9587664631075266,6.409366001373597,2.1623521427267622,16.81788070619764,3.5753477347969116,54.73473696802559
2181900,MCL_5213_S,,,,,,,
2181900,MSD_5213_S,201.99801416070375,0.9833399291365216,4.039741495420768,1.2546488633123165,16.86785246517821,2.977366967358237,48.330003513196615
2181900,PR_5214_S,105.20767922327607,0.9861384511937364,3.5577493739422033,0.6534653110213046,16.91975742219129,2.8148687112716555,47.65378573259264
2181900,CKF_5214_S,419.7359066638363,0.9574171163907829,6.6283602223364015,2.6070611653052307,16.813901753973845,4.130132776717009,71.41215203855764
2181900,MCL_5214_S,,,,,,,
2181900,MSD_5214_S,380.9173684480914,0.9629950815356287,6.15879181434327,2.3659516917780166,16.81278635689091,4.742298212053718,75.93245886365648
2181900,PR_5311_S,39.04617287664644,0.9788068997311958,4.368266262851318,0.24252335657818025,16.957743653274264,3.065984020310947,39.125097793760844
2181900,CKF_5311_S,131.14070364595332,0.9589356478510399,6.141997116177173,0.8145403579684354,16.904868132137345,3.7145911164513827,49.31172875272101
2181900,MCL_5311_S,26.013862973543066,0.9761796988791046,4.66508417237839,0.16157715087313737,16.965226075650364,3.4838948667651124,54.9062150581359
2181900,MSD_5311_S,17.190024349574834,0.9523397510102257,6.637725051839521,0.1067705769292696,16.970292229544327,4.951721234590275,92.80168603726445
2181900,PR_5312_S,35.19999721590855,0.9751244391168198,4.733146922989092,0.2186340132056995,16.959951911905335,3.574809403936231,60.96180664561539
