Basin,Combination,PBIAS,CC,RMSE,ME,ME1,MAE,MAPE
6742900,CKF_2413_P,-12.468595425642663,0.9362394731973359,12.836874979957011,-8.133452418108295,23.81878356784894,10.750490410887869,20.574285528968435
6742900,MCL_2413_P,-15.59620546917977,0.909128461960169,15.521521710817169,-10.173639512413308,24.66796006390705,12.865614265118094,25.647401870823323
6742900,MSD_2413_P,-11.788452819251878,0.8843251959161202,15.241211020952807,-7.689785161471608,23.651812019652336,12.564111742226624,25.140988610953872
6742900,PR_2414_P,-9.844167588753736,0.8746987503390328,15.079204961205118,-6.421498648865296,23.208326668777982,12.568094270039184,23.79345029190709
6742900,CKF_2414_P,-13.056069805280215,0.9320365766243958,13.337482848807722,-8.516670796002968,23.969240972520975,11.13013033153556,21.362122307478877
6742900,MCL_2414_P,-16.278576615998226,0.902877416939987,16.112693428931014,-10.618760479505063,24.867489259075082,13.394770765208042,26.500136624762092
6742900,MSD_2414_P,-14.15940514978,0.8860612359392206,15.9891431987531,-9.23639304372708,24.255582081830553,13.35526786768107,26.49096265016754
6742900,PR_3111_P,-2.6176103965957416,0.9504518977268476,8.916076430188152,-1.7075066503538987,22.06882541211731,6.800152134667443,11.664188206759023
6742900,CKF_3111_P,-9.941660161994166,0.9048416612364912,13.64200798052368,-6.485094521415561,23.229525292961405,10.978424710730188,22.958365313341876
6742900,MCL_3111_P,-8.290984498821953,0.9271460006044476,11.860417083477735,-5.408333947684092,22.891405982193767,9.46992970215158,18.781795068778003
6742900,MSD_3111_P,-10.880385174838567,0.9122539473521608,13.579134042972044,-7.097438972816709,23.441561236445583,10.839213040892506,22.258056922641448
6742900,PR_3112_P,-2.653103633863735,0.9436303090352677,9.525196659333513,-1.730659423110496,22.072061821212316,7.517072285739642,12.594320203782395
6742900,CKF_3112_P,-10.350974587224055,0.882494865014001,14.883203439473021,-6.752096480177171,23.31902035196057,11.641504861851777,23.46807671336859
6742900,MCL_3112_P,-7.040921685484106,0.9258684517669548,11.644181221166491,-4.592899164146241,22.652620407300425,9.42726767544794,17.93874481781105
6742900,MSD_3112_P,-6.80692067922978,0.9217022531160762,11.890850454143008,-4.440256786621916,22.612031578320185,9.367896111841711,18.423105088293703
6742900,PR_3113_P,-2.663458608432127,0.947973198001726,9.130217385967471,-1.7374141288385787,22.073006027389354,7.130440253375076,12.08297299316551
6742900,CKF_3113_P,-11.324826961529418,0.8948421993592278,14.589064744937424,-7.387355038040452,23.544434678944327,12.060498918587239,24.940593791038058
6742900,MCL_3113_P,-9.341941753546921,0.9168387688312367,12.809577299812059,-6.093889179285544,23.105181269467344,10.277418787205741,20.27879803029295
6742900,MSD_3113_P,-14.302879712143802,0.8687564620716716,17.03213092407602,-9.329983659699348,24.296025763248224,13.193657604457746,26.936423953951916
6742900,PR_3114_P,-3.0240112382267377,0.9440702504207545,9.501876245857542,-1.972608034691622,22.108104675835094,7.4985254157254735,12.782401752725164
6742900,CKF_3114_P,-12.151086264427454,0.8833215093120608,15.390975228138197,-7.926336414508854,23.740836684773875,12.529517107723944,26.10480064982082
6742900,MCL_3114_P,-8.74979834907701,0.9168547404124849,12.63835915962307,-5.707625126235283,22.98473333894629,10.128012293815543,19.771720027527216
6742900,MSD_3114_P,-10.48803124636222,0.8864106815046193,14.887888964599771,-6.84150060130156,23.350744394940197,11.756295271270316,23.594167603525715
6742900,PR_3211_P,0.2205732613750106,0.9413110189499374,9.531460578655246,0.1438832574847254,21.850153812903784,6.929027336929461,11.544425588209783
6742900,CKF_3211_P,-8.671867560680738,0.8541018337213174,15.693949930480507,-5.656789700296032,22.96888143193299,12.150031668293966,23.20974586416636
6742900,MCL_3211_P,-7.411282173450026,0.8956042799136451,13.421993809104599,-4.834490883468781,22.721565263199647,10.272818938264562,20.833086051124344
6742900,MSD_3211_P,-5.106375108674844,0.9076973259816397,12.271529381378347,-3.3309653218841793,22.362071455472346,9.220984557337015,18.96495111433199
6742900,PR_3212_P,0.1582952527148033,0.9337860598561679,10.071189843711927,0.10325837530348132,21.85408525311487,7.641802888029894,12.488149864503315
6742900,CKF_3212_P,-9.098700431814136,0.8385538067035111,16.531713974242006,-5.9352192049304,23.05570353552864,12.742693270382803,23.90979728901022
6742900,MCL_3212_P,-6.003040938112857,0.896773416052034,13.098523758805761,-3.9158739350611755,22.490006695953472,10.343097876401012,20.216812878487442
6742900,MSD_3212_P,-2.4228009402794695,0.915171276535403,11.465007037729427,-1.58042951059144,22.051061940967724,8.70786376442813,17.195195142942012
6742900,PR_3213_P,0.21260463073532726,0.9382427340506707,9.760726522464203,0.1386851998099971,21.850656850743277,7.427627207892407,12.183088533996667
6742900,CKF_3213_P,-10.105786384708509,0.8404461948874219,16.619148204642066,-6.592156526191623,23.265212627886765,13.525647724225076,25.461952629087765
6742900,MCL_3213_P,-8.630183460162005,0.8758721386332743,14.728954290221408,-5.629598534283579,22.96040246618717,11.448144889558717,22.91303964591104
6742900,MSD_3213_P,-7.6067258448284925,0.8665733955183392,14.963946750834063,-4.9619817312597005,22.75857873513894,11.341353649041984,23.25366879252284
6742900,PR_3214_P,-0.19200843300276604,0.9341704396525972,10.050802693572855,-0.12524999010648696,21.87619896589648,7.6414247299935765,12.664695033763607
6742900,CKF_3214_P,-10.782891995171635,0.8294554720720424,17.25870082405388,-7.033842704685314,23.418994818721526,13.91719520576343,26.402791475369945
6742900,MCL_3214_P,-7.956095809959975,0.8788848490344638,14.430760410337633,-5.189881016681146,22.82474304380968,11.209495210923698,22.443023703866608
6742900,MSD_3214_P,-5.252106277907902,0.8861447951931546,13.518507167675821,-3.4260279564736944,22.38149285393687,10.258957138955363,20.905882847220994
6742900,PR_3311_P,4.4245835536876745,0.936644692053319,10.989276864869929,2.886222431265416,21.653896342696886,8.000556304448114,12.458074949018453
6742900,CKF_3311_P,-4.675466694853313,0.8207731299585072,16.44597009596136,-3.04987727942736,22.304644866153208,12.828577915971803,26.242550029341306
6742900,MCL_3311_P,1.3083432417534404,0.9278053645644905,11.513991153507405,0.8534519839716977,21.78149508110266,8.896609923233536,16.55467238468185
6742900,MSD_3311_P,1.1882307535683516,0.9188511493901682,12.004256305094,0.7751008005284623,21.789068244222133,9.29006156328487,17.429519260669434
6742900,PR_3312_P,4.379729684089583,0.9242393144601129,11.470818227728213,2.8569635771852013,21.65546939936787,8.351803655252112,13.112530388313345
