Basin,index,method,PBIAS,CC,RMSE,ME,ME1,MAE,MAPE
2181900,E,CKF,-9.66800463207731,0.9329278035050219,12.036758072160453,-4.485357882220543,25.71518077203914,8.48190562393194,30.559750178313312
2181900,E,MCL,-10.865965625901676,0.9317111119176535,12.969036477074521,-5.041137899993284,25.84655619941109,9.75232900578975,33.25410591123869
2181900,E,ET,-21.154018407522265,0.8437778349661227,21.209295633089265,-9.814159882589072,27.140001605008372,15.835915601692081,55.39356200453014
2181900,E,PR,-13.689352513361223,0.9131611912323401,15.02011745090093,-6.351015285468199,26.136918466561177,11.259403631561323,39.746373309870286
2181900,S,MSD,-2490.864362698442,0.9395934037526861,8.066863218659805,2.807779486208898,17.437486773427544,6.101646493263684,80.96177672377948
2181900,S,CKF,-964.2717287189607,0.9517939354688227,6.531388278832938,1.0869569694654908,17.321785511268928,3.8340490551122755,55.354245685665205
2181900,S,TWSC,815.9160997666293,0.97500293720869,4.759845324875685,-0.49617760160209423,17.37484465314453,3.0382939892148597,47.314845156839326
2181900,S,MCL,-1061.4184604394677,0.957897310178875,6.310018964839672,1.1964637754408998,17.343542277374695,4.650760447156738,63.45271031253075
2181900,S,PR,-36.27170870363061,0.9713492454356885,5.148724040467595,0.04088659388802235,17.414289468513495,3.4983958592282796,48.36376341282819
4127800,P,P,5.881252437852158,0.9740594317239784,7.233564812913671,4.174536256978137,20.579114930560213,5.900327655480762,9.063823557906929
4127800,P,MSD,5.292017710621686,0.9540972782049633,9.293720513783718,3.7947967672695015,21.09067677776246,7.056660171384626,10.38242095447618
4127800,P,CKF,5.0947534257946,0.9465990747955016,9.481889386482957,3.6537103911105526,20.96691730238389,7.385664492332421,11.273287203509906
4127800,P,MCL,5.485454484791082,0.960917694068474,8.801937553410264,3.93390226690299,21.06654403441137,7.05037216294035,10.440398870525685
4127800,P,Pre,5.881252437852158,0.9704922619672025,8.354875004686622,4.174536256978138,20.923556085873187,6.919773873708124,10.833720344318943
4127800,P,PR,6.681941408514203,0.9367156162587571,11.181388269626003,4.791964736403808,21.252650870770516,8.686671366148692,12.454016145548275
4127800,E,MSD,2.2035290913056955,0.9653956155937035,11.855106664150739,1.1432822770827649,35.99507491984042,7.941957219309179,73.17532306967674
4127800,E,CKF,0.9226940389364306,0.9824021534045837,8.1710724521059,0.478751059649454,35.93657895076036,5.819319119268682,82.79919553725702
4127800,E,MCL,2.1816374939878287,0.9796421470920421,9.606612792214722,1.1319692313408465,35.946531705903965,7.439369988686773,73.44393425228256
4127800,E,ET,2.2069087605150437,0.9394984877565735,16.96396320987204,1.1450815363065685,36.22152393720722,12.94496136327949,118.51639815491622
4127800,E,PR,2.3760388940536954,0.9736738973398269,11.425062546795525,1.2328367696053735,36.012964832538806,8.773559504154196,94.57420435521276
4127800,S,MSD,54.93083802295526,0.9591097279971876,7.944447215693873,-1.3993860942297491,20.28274073660601,5.869144111365291,491.38744993913815
