Basin,index,method,PBIAS,CC,RMSE,ME,ME1,MAE,MAPE
2181900,P,Pre,10.466427153104629,0.979706853279564,15.999376957387891,10.359943483441807,48.830363825330004,12.950827814718645,16.878439170298712
2181900,P,P,10.466427153104629,0.980634486419745,15.333594359291796,10.359943483441809,48.78578523042897,12.194074553249719,16.23576037817571
2181900,P,CKF,7.85403584582757,0.970987269311949,16.509228563231527,7.828656233353593,49.389146156107685,12.779893696374076,15.723498898625461
2181900,P,MCL,8.265344272255229,0.9752585579337807,15.836232629343591,8.238635553488015,49.39693867981644,12.377351135164762,15.352179231730577
2181900,P,MSD,8.179177904542264,0.9759396743028852,15.8114561538551,8.152747624664784,49.41814316638863,12.304493047598069,15.056680520428534
2181900,P,PR,7.011491657160292,0.9716516245850428,16.239980249002407,6.9888346506713575,49.41627834879576,12.444039807744156,15.13075817352651
2181900,E,CKF,11.13511092123002,0.8716140613635008,17.376917767732458,6.29855745219478,25.385305869103906,13.243731245341996,27.645487744188017
2181900,E,MCL,9.788366093394254,0.8698233834842212,17.640322741772714,5.536773422239852,25.488320743242085,13.53310247695691,27.340077056844503
2181900,E,MSD,9.839286587706408,0.8781547761845545,17.14814575441751,5.565576517349372,25.523824987113038,13.031922770449729,26.64016266020111
2181900,E,ET,0.6308610486669401,0.7609067134409369,23.582507879995262,0.3568455300974803,26.208607923905667,17.570255930971065,43.69180909466008
2181900,E,PR,7.443237328008658,0.8495743292498716,18.523188633658027,4.210255135528061,25.61219556327412,13.91814970592701,28.27431159072001
2181900,S,CKF,214.00206098189892,0.9692360167545513,5.197106785008986,1.0323041771325303,17.02479037293304,3.0694444286665497,28.722917208161324
2181900,S,MCL,292.94665609449936,0.9740996116749242,5.0483260613472645,1.4131174969802625,17.018195845439003,3.7947430681351766,36.235255159056884
2181900,S,MSD,529.1111929659667,0.9608379106959086,6.601545210060425,2.5523291325336515,17.079968945105172,4.9632928471158975,42.97419015044281
2181900,S,TWSC,-27.464207729791617,0.9827403425725287,3.8947084791787616,-0.09380642954811413,17.115380161615224,2.733123912610081,46.39269985813242
2181900,S,PR,111.45291586276467,0.9839176401798013,3.8770198652843133,0.5376271147615912,17.058477681513473,2.8264087464308156,28.792103269559732
4127800,P,Pre,5.881252437852158,0.9704922619672025,8.354875004686622,4.174536256978138,20.923556085873187,6.919773873708124,10.833720344318943
4127800,P,P,5.881252437852158,0.9740594317239784,7.233564812913671,4.174536256978137,20.579114930560213,5.900327655480762,9.063823557906929
4127800,P,CKF,5.515471981392574,0.9499056887453659,9.352755643722384,3.9554293615593705,20.98006664357676,7.201702376381123,10.631946925042024
4127800,P,MCL,5.755832250249618,0.9621486738028736,8.76739521801433,4.12780410446386,21.07525586258987,6.987875952750325,10.068505526004909
4127800,P,MSD,5.487019024120011,0.9537197872291528,9.361002192954995,3.9347147622968244,21.09268175036824,7.048036359364272,10.21868913768363
4127800,P,PR,7.165229498452257,0.9402416922410131,11.060828727980537,5.138555546307673,21.278053139042733,8.512827460184749,11.851898466655006
4127800,E,CKF,7.832903663971687,0.9752840067904909,10.483368305544486,4.355819456844284,36.45512131609907,7.848845796021502,27.640698264418983
4127800,E,MCL,8.649773405948869,0.9743810187099898,11.508167284153235,4.81007464348441,36.47158831724544,8.877441551767708,28.172741299611356
4127800,E,MSD,8.647576274929241,0.9741945269297659,11.633807549844432,4.809265985675083,36.48468480897107,8.88383439572183,28.13876690468927
4127800,E,ET,8.754149729709283,0.9303693138150507,18.521363592823242,4.868117540649183,36.665461128998984,14.222819101960921,50.646273327762756
4127800,E,PR,9.507842174838213,0.9661993796699855,13.366848842222382,5.28724030250178,36.4995390052936,10.097997974374186,29.829496927738035
4127800,S,CKF,19.36795699044672,0.9855754334669449,4.235740815765221,-0.4004465776450738,20.52496675975364,2.501013223489586,24.918632479888295
4127800,S,MCL,31.58459706307739,0.9860552260961615,4.3982983739089585,-0.6530344840422048,20.486672834437105,3.205892845401968,29.94546806227056
4127800,S,MSD,39.05381863680986,0.9724383950825117,6.424408205795925,-0.8087715600538706,20.53969920230753,4.74288454402822,39.028948986187515
4127800,S,TWSC,73.0766776021376,0.9741699071830057,5.883999179469495,-0.9574843240103328,20.259205050174863,3.1741904792822795,164.8578764122271
4127800,S,PR,25.905792935814844,0.9878610068391656,4.142914229540329,-0.5356210842189458,20.503735567532242,2.943205687943281,26.50657815190196
6742900,P,Pre,-9.516536976031716,0.922360761419295,14.656564023965748,-6.207027373338111,24.12507827524877,11.866062577707805,22.353651397370818
6742900,P,P,-9.516536976031714,0.935721627245654,11.79888516920799,-6.20702737333811,22.969615847562807,9.843259277761227,18.51179006215861
6742900,P,CKF,-9.874532315606247,0.9254060445310713,12.797301331614312,-6.441306017106297,23.40108512064912,10.474121895487784,20.355399702945935
6742900,P,MCL,-12.749730362953342,0.9336909597598334,13.860531862467365,-8.316840968111425,24.348578644463952,11.638552417407015,23.28189859948631
6742900,P,MSD,-12.496625621412877,0.9183398785891169,14.698103745090336,-8.15173693659531,24.29569734379329,12.11276704584076,24.22504678344806
6742900,P,PR,-9.11935292851985,0.9235789237161626,13.326926318603373,-5.94869113930126,23.546622849514375,10.9354311564753,20.25364168678974
6742900,E,CKF,-8.781949811850954,0.9663827844793065,11.343868941715026,-3.9814064346469022,35.40177128570275,8.443027500806505,39.4831131040673
6742900,E,MCL,-11.746859668056299,0.9573271425362915,13.875300397398894,-5.325585282459739,35.719160707346056,10.362749277772101,46.840987189839616
6742900,E,MSD,-13.058822600368853,0.9468813856402359,15.721826140317006,-5.920380034495162,35.89780335097572,11.472904697585374,47.96223098301886
6742900,E,ET,-15.444216329631477,0.8967424075342343,21.395643040163293,-7.001828021141178,36.2747783151233,15.816454071798695,93.96913329096199
6742900,E,PR,-8.743163062668396,0.9545556113135303,13.807035864287787,-3.963821978337885,35.48249804429665,10.100899190303405,42.397551888479065
6742900,S,CKF,70.52895013104686,0.9792853872742535,6.903426132193884,-2.2048569752480756,21.845821747093062,4.825110266536591,35.26860068651898
6742900,S,MCL,78.4942078502908,0.9786230340612813,7.761959289173012,-2.4538647090834993,21.892235367813118,6.023707805311295,42.08656327124168
6742900,S,MSD,66.84355959417053,0.9661156709635638,11.105790453375237,-2.0896452924334743,22.01465508498213,8.797272438455852,53.810994455873164
6742900,S,TWSC,80.30855481769089,0.9673131071171681,7.905023058635621,-1.845309874706401,23.67660275438003,5.297274048063207,80.63029346627897
6742900,S,PR,65.27408078260153,0.9787371216381704,7.200225548076378,-2.0405806700512867,21.84205301102947,5.463671539508913,37.940241139697704
