date,P_GPCC,P_GPM,P_MSWEP,P_PERSIANN,ET_ERA5,ET_GLEAM,ET_MERRA,GRDC,GRACE_CSR,GRACE_GFZ,GRACE_JPL
200204,20.40650158,22.91027881,26.08560522,23.86741528,31.01286,31.18341103,24.85728,0.376200553,Unnamed: 9,Unnamed: 10,Unnamed: 11
200205,26.40817423,29.64431826,33.86712976,28.13943511,17.86515,19.05222048,14.28192,0.28940529,-31.16947314,-9.798633842,3.716846305
200206,11.59096565,13.14625096,10.80757565,11.72062748,19.60482,16.82682863,12.23424,0.120708683,3.300768069,2.291221081,-1.585125561
200207,2.277319527,3.588858608,3.78141124,4.923697662,10.86708,12.73676116,9.92736,0.10616154,3.300768069,2.291221081,-1.585125561
200208,34.13708592,39.42349393,43.51228908,38.44328288,25.42056,22.62273179,16.40736,0.573922644,3.300768069,2.291221081,-1.585125561
200209,8.700757112,10.44326323,13.89334646,11.92843641,29.43126,28.17646261,22.78368,2.193989202,-18.54047878,7.975272165,0.028839112
200210,16.68588344,19.54558726,21.7456596,20.10906733,27.6294,33.08578781,24.80544,1.402364955,12.25254413,6.339742312,7.288513183
200211,18.59015652,21.60482325,23.35771685,23.28496927,37.18896,36.65673759,26.6976,0.779942859,-7.375763799,-13.78329941,-10.14545108
200212,70.36452894,77.29300307,66.96858004,77.98154645,67.90809,58.07732802,47.4336,0.249171056,-12.71279735,-2.360361878,13.88512926
200301,36.52093872,41.20708409,36.7130456,40.60649546,49.39104,45.57619004,40.9536,0.132081959,2.728806184,4.857082743,-18.70404741
200302,56.47442069,62.68754794,59.31250872,60.5011423,67.10175,50.57698061,44.3232,0.066501654,4.733051354,-19.37388375,2.97437641
200303,34.13921753,37.79117714,36.98149665,37.57855336,38.39043,34.96884287,33.1776,0.057518501,-4.299271919,11.91701454,1.36927516
200304,16.9910452,18.54670287,32.41103926,19.00252597,31.1475,28.10587678,26.6976,0.143269768,-9.382358609,2.602103222,-9.807195531
200305,6.737371831,7.894222934,9.369212802,8.376777191,13.34031,15.55037075,11.84544,0.11606305,-4.96366431,-4.595177882,0.91599671
200306,1.600182755,1.878566612,2.221796123,1.841497702,6.47406,8.62299591,7.59456,0.109631556,6.598820648,1.014879255,-2.064767755
200307,0.251009577,0.312187428,0.324213847,0.255266712,4.10271,6.943093054,5.41728,0.071942997,6.598820648,1.014879255,-2.064767755
200308,6.270914076,7.552466096,8.804411867,7.488662016,10.56822,10.77226917,7.46496,0.071524202,-7.670374906,-9.74482061,1.7473007
200309,8.379451901,10.09094465,13.543465,8.957996763,16.38855,14.66623004,10.78272,0.065834573,-12.0973932,3.15759106,-16.06118645
200310,20.83171508,23.54042759,23.14067076,23.76132099,21.82875,18.82432583,13.63392,0.069083226,-13.11045988,-11.29042591,-3.38091784
200311,41.96642461,47.47391403,54.57292393,46.65090568,60.74631,43.85624423,33.9552,0.103609882,0.55332581,-2.30047006,2.51421518
200312,18.1295114,21.45336686,23.48731871,21.71031536,37.89591,31.86053555,34.2144,0.168822245,14.95275707,1.12844204,6.74925554
200401,66.65280951,74.74114489,77.00871566,79.0770371,83.04576,61.16084215,75.168,0.1735995,6.64472038,4.85713991,-1.0007307
200402,66.44177002,73.11707746,67.68403988,71.06651164,58.07499,49.61759097,61.1712,0.042005138,2.52797129,-3.87069831,15.96261897
200403,53.85101175,59.92826576,57.05590225,63.76104901,56.06424,49.19522829,61.6896,0.034493751,-1.86386237,26.83402564,8.394446144
200404,36.63741229,40.27471761,45.13735009,41.03993282,52.08735,43.68899179,52.0992,0.236867458,13.43755931,7.443901814,4.348259725
200405,0.784134004,0.932412233,2.67205585,0.685348737,13.89018,18.07500798,29.2896,0.070043463,-1.24614404,-17.91483704,-19.6538318
200406,4.545247821,5.236993511,5.270612537,5.22785056,7.55742,10.13921905,16.38144,0.045469171,-25.78150144,-6.16979981,-14.33220662
