date,P_GPCC,P_GPM,P_MSWEP,P_PERSIANN,ET_ERA5,ET_GLEAM,ET_MERRA,GRDC,GRACE_CSR,GRACE_GFZ,GRACE_JPL
200204,35.05202046,37.12150452,39.90864973,40.06663448,24.35991,36.90804288,32.6592,6.622640694339623,Unnamed: 9,Unnamed: 10,Unnamed: 11
200205,32.46043201,35.70695883,44.58076811,35.57865313,55.63737,66.28966617,55.9872,6.947758188679246,21.104463524,0.07607292399999999,15.589594986
200206,95.09687349,101.0809219,89.56109813,99.66187832,92.9646,89.14497233,94.0896,7.938202958490566,-14.44538494133333,-12.27035799833333,-20.83217983033333
200207,57.43103422,63.14548606,61.86413065,66.38916888,107.35365,91.44835191,92.016,7.885644045283019,-14.44538494133333,-12.27035799833334,-20.83217983033333
200208,97.16076171,102.0297652,89.30126558,100.0503833,81.14013,69.2660768,73.09440000000001,8.114395381132075,-14.44538494133334,-12.27035799833333,-20.83217983033335
200209,53.51579098,57.75148972,69.32399241,59.36687817,61.70439,45.62845501,50.0256,7.92434798490566,-22.85584236,-23.58116011,-16.5579871
200210,25.1790877,27.43035081,29.81397975,28.46567178,27.1182,18.34829951,18.4032,8.103352483018867,-9.791711050000004,-19.69922615000001,-9.724601980000003
200211,12.75777855,14.03231617,17.08401967,14.23411094,10.17567,5.214977819,7.62048,7.327698928301887,5.211921459999999,6.09777462000001,6.846110030000006
200212,25.71819924,27.15246485,28.06107379,27.35791134,4.35816,0.838649998,3.6288,7.883277011320755,5.50099136,8.940984549999996,0.1954234699999944
200301,12.81367885,14.15315616,15.00072527,12.67787018,4.093290000000001,0.243860538,4.536,8.268211018867925,7.96806196,24.56198213,5.429051260000008
200302,16.94300006,17.53680236,16.06705607,18.8224533,4.121700000000001,2.662438938,7.205760000000001,7.369909403773585,26.06943212,20.01092344,29.44592655
200303,17.49161222,19.56613423,21.994816,20.97807521,10.27518,16.83104716,17.21088,6.689032573584905,5.625908129999999,-5.271395600000002,14.79968262
200304,37.14116822,40.63148952,38.85044782,42.66468493,33.01377,45.18405621,40.9536,5.923289750943396,13.56217078,4.599076710000002,0.3559015400000014
200305,45.4116897,51.69038207,47.10566589,52.19724393,71.10737999999999,79.43653195,71.7984,5.752726369811321,-5.524900500000001,16.577837394,3.329452979999999
200306,68.94715717,74.17010048,59.51259735,75.60379195,98.37888000000001,87.75986067,90.72,4.74979843018868,-26.29517526000001,-33.722455112,-26.473090895
