date,P_GPCC,P_GPM,P_MSWEP,P_PERSIANN,ET_ERA5,ET_GLEAM,ET_MERRA,GRDC,GRACE_CSR,GRACE_GFZ,GRACE_JPL
200204,44.77577203,47.20253323,48.68255036,59.89011786,16.1544,39.40056841,42.50879999999999,21.52474440552995,Unnamed: 9,Unnamed: 10,Unnamed: 11
200205,64.41630901,68.01835585,73.0114406,72.98087111,29.30706,61.72645614,68.9472,65.63420593548388,-16.55938939999999,6.293185799999975,-7.064706300000012
200206,45.56081512,48.72909247,53.63806877,55.43353926,62.04096,82.36115757,107.0496,111.1215483870968,-87.9881637166667,-90.96821652333338,-80.23186125666669
200207,29.84750956,31.86144892,43.78147794,36.77783832,76.54143,79.08712114,95.904,80.44948070046082,-87.98816371666665,-90.9682165233333,-80.23186125666663
200208,33.58596474,36.07779925,38.75512331,39.82969672,57.96675,62.56146576,67.9104,35.35245522580645,-87.98816371666666,-90.96821652333331,-80.23186125666666
200209,67.71328041,70.89798688,71.55637808,81.996932,42.20718,44.24449773,43.8048,27.81124025806452,-34.22528755,-25.43721968999999,-50.81363028000001
200210,25.81802617,27.64717794,33.08933223,31.64743789,17.80698,20.91477654,21.79872,25.79669485714286,-13.88254123,-9.454318580000006,-12.53861943
200211,41.76712547,46.33217512,52.49808961,75.75317697,5.65356,13.6045183,9.331199999999999,15.54881076497696,7.859212239999991,9.769820609999996,20.06783944
200212,41.40525667,47.13852936,49.95165422,63.96431146,2.424,8.816940392,4.74336,10.3098173640553,36.32051595,20.1484375,9.779324000000003
200301,58.58984794,66.16275408,67.379624,93.81566859,2.13,12.16597435,6.97248,8.335477824884792,37.26867676000001,14.47286422000001,61.181970812
200302,29.85401438,30.20847811,28.36457972,34.71085158,3.5877,10.29783313,10.99008,7.938531539170507,51.89638490999999,89.46951407,24.202202548
200303,61.6340112,68.92806419,70.50551407,93.22820547,9.405990000000001,24.9790008,24.83136,8.779354838709677,52.08600080000001,19.00849519,59.97016058999999
200304,44.80272599,50.77050578,54.557876,68.11717073,19.5432,42.48899658,44.064,24.57024884792627,29.16665757,55.67907264999999,36.38393379
200305,34.21281099,37.29926924,51.72464397,46.69980553,38.69823,60.82108845,67.392,44.18382923502305,-15.13906060000001,-18.7019043,-6.024802899999997
200306,46.51122418,49.71677923,52.97987582,57.47584999,70.72116,79.21632693,95.12639999999999,77.01942857142858,-64.06640627,-67.61690720000001,-64.61109078
200307,24.95120331,27.6859527,36.82841264,31.7064822,78.49482,78.85702429,91.2384,52.86878510599078,-64.06640626999999,-67.61690719999999,-64.61109078
200308,33.90422981,36.96553053,45.05138503,41.90378973,57.57924,61.6673808,62.208,32.50885205529953,-78.13267686,-56.08970812,-84.45322899
200309,50.7844605,53.42360146,62.45415075,67.09251358,40.49763,41.19860625,42.50879999999999,19.42606053456221,-13.1730776,-20.80666778,-17.57848665
200310,92.37883919,99.45403709,108.3658388,129.6070782,23.52654,31.51247742,27.7344,27.19153725345623,16.3944408,6.985758489999995,10.0821578
200311,55.38165571,61.40740097,61.61492706,80.74375503,6.054180000000001,13.69097847,10.26432,18.6699609953917,35.11015716,39.50885236000001,54.95332393
200312,44.11006656,51.31403101,46.52474818,70.80156921,0.8969999999999999,8.36078544,5.7024,9.986151815668203,77.6768471,54.549915208,62.81451756
200401,63.85326415,70.30515983,69.11019451,93.70843113,0.942,12.2252301,4.380479999999999,8.977015741935483,14.21495791,15.703580752,17.55948328
200402,28.30500184,30.40852751,25.50041247,38.0588075,2.25,11.21186317,10.91232,7.837777990783411,25.65228497,48.71853638,20.8407751
200403,38.8230452,46.83555203,53.38123046,60.66908362,12.65523,24.88730421,30.5856,9.569628165898617,23.34441461,23.52469437000001,22.89005081000001
200404,21.66776967,24.20330959,27.54315735,27.74920576,25.64868,47.1729711,52.6176,29.14904670967742,15.89879015,9.896846060000001,19.90892651
200405,57.64362594,60.24642764,64.20432442,66.26630817,49.12914,72.42036445,76.464,52.44109316129033,-22.53663917999999,-22.27517361000001,-26.50229673
200406,55.72270235,60.2140701,64.89998697,65.68078561,80.7936,89.12297285,103.68,64.2266543778802,-55.51071506,-61.77513517999999,-55.88448984000001
200407,47.00519297,52.13299709,60.22863842,58.39879795,85.25436,84.71518143,94.0896,46.08343078341014,-76.89797635000001,-72.70958795,-65.89480703999999
200408,80.82768911,88.00320861,83.690409,97.27674859,65.36463,68.33951477,72.05760000000001,30.21623402764977,-45.70398401,-38.95160137999999,-50.13942238
200409,83.40723914,88.55525213,85.9817645,108.663744,45.29898,44.49796549,49.7664,38.39026728110599,16.83727575,27.73512550999999,14.40207248999999
200410,66.63652595,72.26520153,69.4669373,88.98756874,22.92936,27.80713157,28.7712,27.1414411797235,-21.84349684999999,-32.09157080999999,-9.717140490000006
200411,72.46104647,76.70251694,92.70606113,111.0689378,6.708629999999999,18.6560394,10.34208,29.20877021198157,71.55470562,52.59579806,51.61092123000001
200412,74.21410609,77.59030794,88.21882598,101.7304771,3.57687,15.10307974,7.30944,20.23663985253456,50.687717577,69.00843415,69.67331949999999
200501,79.1808359,83.14962648,86.07359326,104.3500034,0.774,13.52591578,4.847040000000001,21.22843222119816,55.454227593,32.94041839,34.26398157
200502,29.40879828,30.07305149,32.27227336,37.30178715,7.372470000000001,11.2429034,16.38144,26.29540999078341,34.50236906000001,48.4197501,43.42226382
200503,40.60864572,47.23960867,46.1646405,67.46428212,14.91615,28.84857839,32.4,20.65662746543779,9.46737555,-11.43294274,-3.424271199999993
200504,20.58549323,24.36867508,32.54066082,36.30764234,29.59578,51.02357929,57.8016,28.2890282764977,19.30051909999999,18.26127564000001,30.01803928
200505,40.28356357,44.56141418,48.08499045,57.61770722,47.77365,78.83224538,85.7952,65.27971111520738,-55.41175677,-41.9214771,-59.86119249000001
200506,84.15120373,87.91755342,91.77379298,94.71107162,72.7884,85.18474176,96.42240000000001,72.92637389861751,-54.44297056,-47.03734447,-49.08499146
