date,P_GPCC,P_GPM,P_MSWEP,P_PERSIANN,ET_ERA5,ET_GLEAM,ET_MERRA,GRDC,GRACE_CSR,GRACE_GFZ,GRACE_JPL
200204,27.8662817,29.07263342,31.28663939,28.0953518,46.41390000000001,34.46529091,30.8448,2.894119391372481,Unnamed: 9,Unnamed: 10,Unnamed: 11
200205,64.79931266,66.56556074,59.87690214,63.46245604,66.25344,50.3374727,49.248,2.586145801028991,-10.539508657,13.9552608,-0.2709144269999999
200206,99.19858935,105.0774401,92.84364433,96.87226929,93.01599,63.23272945,76.464,6.476208647244793,-1.500217778,-4.647607221333334,-0.7149517793333334
200207,56.02514919,59.83261888,66.1414091,63.51054987,94.06466999999999,66.56786097,73.6128,3.801794212888131,-1.500217778,-4.647607221333334,-0.7149517793333335
200208,49.37537298,50.76834331,65.43066921,44.01322397,86.66529,60.74741348,60.13440000000001,3.641244892032722,-1.500217778,-4.647607221333332,-0.7149517793333331
200209,64.82701939,66.20513308,70.05274415,64.03949542,60.90423000000001,39.51341983,44.3232,2.68625656816924,1.072155589,-9.240715775,-5.431535748
200210,19.51710025,19.98946496,28.54921886,25.35401348,36.10902,24.57571144,26.1792,2.478122130963405,-9.253914846,-4.73491314,-2.645605812
200211,2.440153286,2.68792249,5.085807521,6.150240353,14.86251,11.06979472,13.68576,1.878913237155428,-17.169223842,6.258042879999998,-20.005378835
200212,8.631944167,9.502406529,14.63188996,10.06871403,5.634,5.062376701,7.69824,1.688286363960134,-16.78374986,-20.76492696,-21.82847401
200301,3.531457717,4.050129944,7.629303057,3.446174173,7.00491,5.546497037,7.98336,1.437578453665299,22.83095841,3.789110640000004,24.69239828
200302,4.986589957,5.862000304,10.96302245,7.457207747,13.06956,10.37085362,11.35296,1.948940830315218,-18.01249588,-25.39342402,-12.14005247
200303,19.57971014,21.5426855,26.38713141,15.26928815,26.26173,22.63117111,18.06624,2.849844040567862,0.9834878400000022,32.75943896,-1.817393130000006
200304,24.66886456,25.60354099,32.31565332,27.79862166,48.12918,36.46148926,30.0672,2.73751873058315,-5.112572889999996,-2.681475579999997,7.173319210000002
200305,52.15231378,54.32438362,53.54546531,61.72012202,65.39699999999999,51.05520738,43.54559999999999,2.279064670783359,23.34929818,0.1950717999999974,10.08315568
200306,64.93002717,68.36571209,62.0069745,64.81041533,77.29992,55.98891094,53.6544,5.990906716929028,10.763317268,14.1878855535,12.2847883175
200307,107.0677283,110.7669355,106.7761819,104.7912337,89.12738999999999,66.28972402,76.9824,3.821990203222855,10.763317268,14.1878855535,12.2847883175
200308,126.0165974,128.9744995,132.4213276,108.7577725,78.03003,55.36916127,73.6128,3.290467834462958,9.962233854,12.141837963,15.675035075
200309,93.57000613,96.98728355,105.4949361,99.53172954,64.76526,43.74964496,64.0224,3.109408303152173,44.32235417,44.30178532,45.03009462999999
200310,44.58280384,46.29789807,51.64006493,49.76448276,38.84223,26.96529129,41.73119999999999,3.062884197491631,5.674759980000005,9.494319440000005,0.9164145000000019
200311,15.04781743,16.43405984,25.70619167,19.64245991,15.45084,10.98837629,20.65824,2.351736604770176,-9.24277894,-6.34491225,-6.766570610000002
200312,2.266803036,2.373412557,5.671065535,4.124960871,5.86515,6.520461189,12.41568,2.161376019812721,-5.74933291,-10.89008514,-17.53905219
200401,2.894867802,3.415838068,7.198769106,2.645648927,5.87313,6.60099867,11.19744,2.180605975595724,-5.873700210000003,-1.728873239999999,9.930007289999999
200402,5.802404275,6.503720238,9.193984174,6.419310379,14.32347,13.05322348,18.6624,1.796802963141544,-5.764559030000001,0.367747989999998,-12.40838537
200403,6.817953931,7.690113679,13.8101498,9.407065051,27.39282,24.0011531,26.1792,2.707892191617947,-13.86019339,-21.75230042,-10.00147688
200404,14.11352102,14.70633265,16.28821182,15.55460258,44.73912,36.21055515,37.584,2.917691817937746,6.732555980000001,9.271240229999997,-2.035567159999999
200405,45.78425378,46.68670522,44.21179663,45.40991315,62.01822,48.03843632,47.6928,2.710185820973213,-26.059041195,-21.80508981,-15.975414008
200406,65.65983323,67.93129819,60.22789294,58.51266784,69.63669,53.30475945,57.5424,5.588974702617405,13.685732985,-10.94666989,2.445252328
200407,86.52973146,90.23949878,90.71053699,85.97632939,89.06133000000001,65.11967626,74.64959999999999,4.596649809050513,12.52173712,32.22382451,22.48208317
200408,97.28250213,99.24127435,102.6080752,93.67258099,82.79745,58.65049859,75.9456,4.39316298922245,22.39521037,20.40496741,24.09378782
200409,60.62601236,63.00506882,78.45457696,65.53150309,63.12738,41.07450975,54.6912,1.429080209743081,12.19588331,-3.889239250000003,4.879800289999999
200410,20.29031463,20.41803005,26.44089003,23.75320859,35.60478,24.64431128,31.3632,1.231224498517881,-24.97689948,-19.37137571,-19.87760646
200411,6.327220452,6.819642963,10.20183789,12.56443148,14.71398,11.83932051,16.64064,1.126122306297224,-4.32122373,4.355159269999998,-3.712856239999994
200412,7.005652907,7.716182296,14.24267043,7.837457707,7.473,7.028035622,10.1088,1.494878258058507,-8.711876240000002,-14.81662632,-14.72613611
