Unnamed: 0,Pre_GPCC,Pre_GPCP,Pre_Gsmap,Pre_IMERG,Pre_PERSIANN_CDR,ET_FLUXCOM,ET_GLDAS,ET_GLEAM,ET_PT-JPL,GRDC,TWSC_GRACE_CSR_calculate,TWSC_GRACE_GFZ_calculate,TWSC_GRACE_JPL_calculate,TWSC_GRACE_Mascon_JPL_calculate,SM_GLDAS,SWE_GLDAS
200204,54.6170651,61.28145926,41.12077369,61.74460486,66.43247616,67.05982873,53.73604607,54.64436095,38.74468333,24.92110037,-17.660877779472834,-32.258880791980786,-11.986525185559838,-4.795835350251096,587.9454189,6.722418762
200205,65.63454743,71.35225133,51.67205495,72.02519332,75.89701124,105.4559323,106.9564565,75.91721304,77.16772278,23.36975358,-33.61263835674882,-61.395934409408184,-22.813064062839697,-9.127557602090796,548.7493188,2.888861466
200206,74.64652163,79.78948975,62.73354722,80.55550757,83.54954658,124.543491,124.2860184,82.89447803,95.43597491,19.18358471,-22.629921806158553,-22.49989751443553,-17.314928546155695,-10.017797394480208,517.4390327,0.385208462
200207,108.9495274,115.3459124,88.1876988,117.0991006,116.798131,128.0576798,116.3644095,86.85994976,94.45832428,13.77475232,-14.60753644025899,9.166107259547111,-13.636704921730441,-11.337150291749541,462.7382067,0.012730619
200208,121.4148288,136.7502093,89.49250713,131.0629045,131.1465216,108.9183713,85.79610865,75.72325762,77.66063418,20.51330801,-17.952471458503425,-13.408676954232078,-13.388272136337328,-19.261425926535686,502.1419874,0.012762812
200209,84.3773842,91.67844936,71.42692223,91.67337117,91.8402695,67.05837069,54.59526673,47.7543799,39.19380467,18.97373871,12.207848257494405,13.080558557795065,3.87476114161273,7.970759622732949,502.9050579,0.174068014
200210,84.4482342,97.4425572,63.95482341,93.13269853,96.24224072,35.07021457,27.46509388,31.92487387,18.36812067,23.53998631,51.24788060356034,52.225617760808234,34.2363268726814,38.14159477326224,557.9191928,0.396887091
200211,64.47270947,71.21856253,54.0959437,76.58472496,81.23661551,14.2381126,13.09001671,17.89232933,5.331484654,27.5366532,30.498408294468195,21.7402358374606,22.698675614265596,28.195958505312838,586.6041383,2.7822402
200212,56.36479798,80.987357,43.90630141,71.91820226,78.46904802,7.593416092,6.627788658,10.96762309,1.543110263,27.64800139,16.252851936354514,28.712600536044476,35.89711825936848,20.96287333790774,603.9277929,10.19206749
200301,61.53388432,94.96800886,48.79358616,84.11974197,94.05212236,8.975096976,6.345853468,10.96438208,1.578642874,27.95205787,32.0703424057541,40.91029268466055,42.386754097636334,38.446219570566214,625.224455,36.68445589
200302,27.31191459,38.3593314,18.6906106,37.39701588,40.23521585,14.40531016,10.81927208,10.11844745,4.003385369,23.32478725,8.260207948358811,2.4657186941351625,-1.9072916432836138,5.031778472234308,630.4461853,60.02987164
200303,16.3796114,20.17805263,5.450432143,20.54695212,22.09617012,35.91099408,28.2644808,33.38520202,20.40609178,21.97365002,-27.449148568684365,-36.849769629095306,-28.120261145823363,-33.215855620090856,643.2574506,24.26607204
200304,38.77151098,44.72018433,30.7573969,44.30902435,46.26173472,69.49897719,61.14306241,55.23149587,37.83090729,23.4393468,-30.263571483651205,-43.87714501676356,-36.238666522964294,-35.05031275075938,618.7196015,5.964755939
200305,59.27345879,66.53799003,51.86708553,64.35188384,66.61409017,106.5807364,121.2340344,82.32798663,81.27285114,19.85272895,-43.33606447782611,-40.986876285735484,-45.89346043395723,-46.424362202689665,558.3761069,0.995900417
200306,44.4671561,46.08827427,36.99404615,47.74886544,48.52522565,125.9372606,127.701273,85.74309754,100.2141275,14.86144238,-53.5880704685208,-38.26794004623952,-44.47352794342063,-46.79976881648983,480.9870998,0.065127724
200307,88.30757727,87.23907471,81.17664116,95.06545465,95.45184775,127.3674269,106.5792213,80.38617592,92.71416728,10.01148084,-44.208886357606914,-39.04960927237198,-44.13817926999923,-46.652984275539836,425.1237228,0.012995461
200308,35.16290765,32.65805926,33.97028559,37.80845193,37.45823399,102.9128656,79.8005258,67.88704338,72.79863078,9.265249392,-21.429073921398086,-37.39548086208734,-26.00925486799349,-34.40832618375639,391.5198825,0.012683649
200309,60.03919022,63.88657052,53.9050229,64.74875233,64.78658783,64.88171353,44.06499596,42.26996232,35.830222,8.122884758,10.214935012626597,-1.0411813315001552,-0.3464332278323923,0.29577844728319747,387.6672343,0.015597241
200310,108.8366932,118.7015555,94.58437534,119.6322118,127.6811138,33.57329931,22.4296875,31.19574357,15.88743703,11.06284079,35.897542029404576,42.44841995349837,37.21091991130176,41.93190909740329,434.3049217,1.424656673
