Basin,index,method,PBIAS,CC,RMSE,ME,ME1,MAE,MAPE
2181900,P,CKF,7.646210058375208,0.9688682144806637,16.887516670316,7.621502016295253,49.39236307096027,12.960902344869362,15.932428076832299
2181900,P,P,10.466427153104629,0.980634486419745,15.333594359291796,10.359943483441809,48.78578523042897,12.194074553249719,16.23576037817571
2181900,P,MSD,8.03921709599071,0.9746952102195457,16.039790529737125,8.013239086914165,49.419788613139836,12.431154497727679,15.184664093272755
2181900,P,Pre,10.466427153104629,0.979706853279564,15.999376957387891,10.359943483441807,48.830363825330004,12.950827814718645,16.878439170298712
2181900,P,MCL,8.119789548125613,0.973896213342604,16.0799511949662,8.093551176395854,49.398334323653884,12.496902124533927,15.451482977400174
2181900,P,PR,6.8064123480176075,0.9697027649242432,16.62106176784984,6.784418036924346,49.420257621475756,12.599665798315423,15.228742964717066
2181900,E,CKF,10.088412801214966,0.9323212515010585,12.64220242038582,5.670494306263116,28.154912688222133,8.412928254220967,16.175093233611328
2181900,E,MSD,8.860258169325158,0.9625320826535123,10.810493542281165,4.980173243419304,28.245022164113276,8.24217069329183,16.839539936051402
2181900,E,MCL,8.706526990040713,0.961301435942128,10.245258967057827,4.893764033764186,28.210597951518533,7.888896672560318,17.095368226734376
2181900,E,ET,-6.661338147750939e-16,0.9949423964810448,8.281625940813287,2.220446049250313e-16,28.70435681241588,6.542146908759181,12.385649017444207
2181900,E,PR,6.199367468258751,0.9844926041683969,8.48035257267955,3.484539998894617,28.284850687932696,6.541329535529721,13.002587770103839
2181900,S,CKF,193.31833786770164,0.9680461311623842,5.279159019500834,1.2007377095805263,16.883890418179114,3.1217769884290174,29.31145208887803
2181900,S,MSD,447.5445365700181,0.9595709084876549,6.708687368902761,2.7797859618683605,16.94269980967197,5.024147157068798,43.48736788542061
2181900,S,TWSC,4.1744385725905886e-14,0.9844630451060563,3.6792665389291743,1.8388068845354155e-16,17.021573732067107,2.655358642874961,46.197292220985126
2181900,S,MCL,262.32874937880547,0.97403653087073,5.042016170801799,1.6293747668252474,16.876665733160614,3.7931582125762713,36.40447775684717
2181900,S,PR,114.51087629962717,0.9851285745081508,3.7316073292878995,0.7112492733315886,16.91679335918559,2.767482261506558,28.79064604325913
4127800,P,CKF,4.942775139005894,0.9431043846323117,9.664398958900781,3.5447189249383753,20.95422193488804,7.4952605793014415,11.532907359790283
4127800,P,P,5.881252437852158,0.9740594317239784,7.233564812913671,4.174536256978137,20.579114930560213,5.900327655480762,9.063823557906929
4127800,P,MSD,5.19820386146952,0.9473620917933854,9.735031873361907,3.7276021611431505,21.07480830000454,7.1668518476076715,10.532491832108665
4127800,P,Pre,5.881252437852158,0.9704922619672025,8.354875004686622,4.174536256978138,20.923556085873187,6.919773873708124,10.833720344318943
4127800,P,MCL,5.383630397844816,0.9594772317473955,8.870395955807933,3.8608789636245033,21.05434408272071,7.104451544676701,10.555797114245994
4127800,P,PR,6.687616099614706,0.9367138327878679,11.186061685284747,4.796034350005771,21.253695618181563,8.689910002212244,12.457883925121509
4127800,E,CKF,-1.5982380091947528,0.9674698483203035,10.349369808161203,-0.8109641624027649,31.60118592920704,7.288927115420518,19.903654226483383
4127800,E,MSD,-0.4747659387192951,0.9755858459901454,9.949272956585768,-0.24111021527094226,31.705279235772558,7.449550344302736,23.37524370161521
4127800,E,MCL,-0.35390919604049736,0.9806120419729176,8.880993803996917,-0.1795775554594789,31.659185775984646,6.939209622695214,22.5668060863303
4127800,E,ET,0.0,0.995559454340133,9.385628885749556,-4.440892098500626e-16,31.8204868261623,7.689768629221751,20.038459496607878
4127800,E,PR,0.1717387733959573,0.9894757065168314,7.994770789423846,0.08714220893126039,31.783301606658892,6.200804117724614,17.411123238411125
4127800,S,CKF,-43.12428655991976,0.982284870104429,4.743045608731118,0.44303423004537573,21.248763775857192,2.6186234546838767,23.12705493567354
4127800,S,MSD,-16.662985870556916,0.9658462872539266,7.093349516878966,0.1783632326706754,21.28422502623677,5.169789099497159,38.96704210264102
4127800,S,TWSC,-4.2521541843143495e-14,0.9897302390229882,3.5665649698711945,1.5135462327897642e-16,20.92503782367084,2.3678004386485205,149.1727987857683
4127800,S,MCL,-8.238653999477238,0.9865995114651186,4.324322222401791,0.08463921429046926,21.17923315557377,3.1679958397794605,27.473170372913433
4127800,S,PR,-27.638684714813486,0.9879885566190258,4.2733345260475035,0.28394402270471025,21.220107167180554,3.008530773718061,24.329208489614086
6742900,P,CKF,-12.600071305232216,0.9014532219648741,14.96042691975087,-8.219216112755998,24.05855834716733,12.214211615359462,24.151102546904514
6742900,P,P,-9.516536976031714,0.935721627245654,11.79888516920799,-6.20702737333811,22.969615847562807,9.843259277761227,18.51179006215861
6742900,P,MSD,-14.314536720509142,0.9057706868022727,15.927556581459736,-9.337587701665615,24.789365840922684,13.251510464888588,26.62520763830498
6742900,P,Pre,-9.516536976031716,0.922360761419295,14.656564023965748,-6.207027373338111,24.12507827524877,11.866062577707805,22.353651397370818
6742900,P,MCL,-14.226561049693021,0.9241188348453958,14.908226420001261,-9.280199847772902,24.755756629232327,12.568835037230745,25.02306985071754
6742900,P,PR,-10.960554087864892,0.9090548868090383,14.646672078910854,-7.149734361130463,24.00301904246939,12.085998654530613,22.877355746124998
6742900,E,CKF,3.4882769299270806,0.9473265285603054,13.142751674752436,1.8256969872079267,34.79926418898108,8.634170836980767,20.487229890860352
6742900,E,MSD,0.08189591490186707,0.9834287764628794,10.214558539043633,0.04286274516172135,35.1024487859919,7.9549324139337045,23.02363981941877
6742900,E,MCL,1.3078406748256302,0.9765810523646608,10.256945743933068,0.6844986300520148,34.96240775112081,7.9837046504019895,27.140512272694526
6742900,E,ET,0.0,0.9963318699670332,10.410276767771993,0.0,35.374172299554424,8.268530512286222,20.922115067411756
6742900,E,PR,3.579410117016964,0.9822756881386929,9.774934113629087,1.8733943427926327,34.91934268789452,7.2560061263023865,20.08113386048542
6742900,S,CKF,121.17570977907891,0.9890131964197895,4.449629859343362,0.4435350426852652,24.86500075967339,3.094054266412173,22.479221930730755
6742900,S,MSD,296.6223384568586,0.9646803876627711,10.162174261600182,1.0857159556871876,25.05132826828406,7.779553821667167,43.48798099940643
6742900,S,TWSC,-4.440892098500626e-14,0.985159601169305,5.121611824422239,2.0122792321330962e-16,25.241024920636253,3.8366804290278838,62.43600542343824
6742900,S,MCL,111.5589958652693,0.9858242469674774,5.593445813820614,0.4083353345586952,24.897085001762527,4.318662255762559,28.934831713123224
6742900,S,PR,211.97234557173502,0.9855368193925758,5.523136860500986,0.7758746659100438,24.87274149726461,4.2188054214112665,26.852812951207035
