basin,date,P_closed,E_closed,R_closed,S_closed,value,method,combination,component,abnormal
2181900,201602.0,29.39070796,2.69625131708521,30.11921662,-3.424759977085209,-1.0109240451409,MCL,4313,E,0
2181900,201602.0,29.39070796,2.69625131708521,30.11921662,-3.424759977085209,-0.5995157814108458,MCL,1313,E,2
2181900,201602.0,29.39070796,2.69625131708521,30.11921662,-3.424759977085209,-0.6937040798809022,MCL,4113,E,2
2181900,201602.0,29.39070796,2.69625131708521,30.11921662,-3.424759977085209,-1.548340968822414,MCL,4313,E,2
4127800,200301.0,17.38108843537413,8.724970571750001,16.81691718,19.20804740549784,-0.8102003546804157,MCL,1111,E,0
4127800,200412.0,45.21866666666665,9.65513800025,32.39098658,31.86823850041798,-3.352704213543996,MCL,1111,E,0
4127800,200911.0,26.81999999999999,15.980577876250004,25.92862089,26.4096553452898,-1.111938436782009,MCL,1111,E,0
4127800,201601.0,35.03826666666666,9.571265772,40.65713443,9.700373894688958,-1.4479585165864624,MCL,1111,E,0
4127800,200911.0,26.81999999999999,15.980577876250004,25.92862089,26.4096553452898,-2.739258767052656,CKF,1112,E,0
4127800,200412.0,45.21866666666665,9.65513800025,32.39098658,31.86823850041798,-3.146526557563119,MCL,1113,E,0
4127800,200911.0,26.81999999999999,15.980577876250004,25.92862089,26.4096553452898,-1.0597411020896588,MCL,1113,E,0
4127800,201601.0,35.03826666666666,9.571265772,40.65713443,9.700373894688958,-0.6976589628341241,MCL,1113,E,0
4127800,200911.0,26.81999999999999,15.980577876250004,25.92862089,26.4096553452898,-0.4414494804325892,MSD,1113,E,0
4127800,201601.0,35.03826666666666,9.571265772,40.65713443,9.700373894688958,-0.2501053539381201,MSD,1113,E,0
4127800,200911.0,26.81999999999999,15.980577876250004,25.92862089,26.4096553452898,-4.80097565621768,CKF,1114,E,0
4127800,200412.0,45.21866666666665,9.65513800025,32.39098658,31.86823850041798,-1.0165053714215286,MCL,1114,E,0
4127800,200301.0,17.38108843537413,8.724970571750001,16.81691718,19.20804740549784,-8.897475366827875,CKF,1211,E,0
4127800,200312.0,41.11633333333335,9.18875335025,18.20825249,27.512639962518065,-2.8630600981459544,CKF,1211,E,0
4127800,200911.0,26.81999999999999,15.980577876250004,25.92862089,26.4096553452898,-6.882951324472151,CKF,1211,E,0
4127800,201401.0,28.994755244755243,9.548006586,20.04216797,16.724697730400706,-4.523264080735675,CKF,1211,E,0
4127800,200301.0,17.38108843537413,8.724970571750001,16.81691718,19.20804740549784,-8.002178177932748,MCL,1211,E,0
4127800,200312.0,41.11633333333335,9.18875335025,18.20825249,27.512639962518065,-0.7487986405482836,MCL,1211,E,0
4127800,200412.0,45.21866666666665,9.65513800025,32.39098658,31.86823850041798,-14.144597434592152,MCL,1211,E,0
4127800,200801.0,37.40459999999999,9.775800736749998,15.60504364,23.06420486234104,-3.781898953107607,MCL,1211,E,0
4127800,200911.0,26.81999999999999,15.980577876250004,25.92862089,26.4096553452898,-11.2618161014565,MCL,1211,E,0
4127800,201012.0,36.89413333333332,7.520101466250001,12.10965192,28.65168432400055,-4.137323705474591,MCL,1211,E,0
4127800,201401.0,28.994755244755243,9.548006586,20.04216797,16.724697730400706,-1.4243669533618792,MCL,1211,E,0
4127800,201501.0,35.755399999999995,2.3911003871442063,13.42857454,19.93572507285579,-0.5238732846439547,MCL,1211,E,0
4127800,201601.0,35.03826666666666,9.571265772,40.65713443,9.700373894688958,-13.36488300074997,MCL,1211,E,0
4127800,200911.0,26.81999999999999,15.980577876250004,25.92862089,26.4096553452898,-17.662185409449087,CKF,1212,E,0
4127800,201401.0,28.994755244755243,9.548006586,20.04216797,16.724697730400706,-1.1159738464466464,CKF,1212,E,0
4127800,200301.0,17.38108843537413,8.724970571750001,16.81691718,19.20804740549784,-7.577102459532412,MCL,1212,E,0
4127800,200412.0,45.21866666666665,9.65513800025,32.39098658,31.86823850041798,-4.499410073708352,MCL,1212,E,0
4127800,200911.0,26.81999999999999,15.980577876250004,25.92862089,26.4096553452898,-2.5071717041461064,MCL,1212,E,0
4127800,201012.0,36.89413333333332,7.520101466250001,12.10965192,28.65168432400055,-2.291975386010101,MCL,1212,E,0
4127800,201601.0,35.03826666666666,9.571265772,40.65713443,9.700373894688958,-2.7914952924391105,MCL,1212,E,0
4127800,201610.0,52.55020134228185,6.010116477236288,12.14184146,34.39824340504556,-4.53032521276652,MCL,1212,E,0
4127800,200911.0,26.81999999999999,15.980577876250004,25.92862089,26.4096553452898,-8.158218835301282,CKF,1213,E,0
4127800,200301.0,17.38108843537413,8.724970571750001,16.81691718,19.20804740549784,-5.115207076770483,MCL,1213,E,0
4127800,200412.0,45.21866666666665,9.65513800025,32.39098658,31.86823850041798,-15.24401030000361,MCL,1213,E,0
4127800,200911.0,26.81999999999999,15.980577876250004,25.92862089,26.4096553452898,-13.216683236940698,MCL,1213,E,0
4127800,201012.0,36.89413333333332,7.520101466250001,12.10965192,28.65168432400055,-1.0128433806795858,MCL,1213,E,0
4127800,201601.0,35.03826666666666,9.571265772,40.65713443,9.700373894688958,-13.369236823106869,MCL,1213,E,0
4127800,201601.0,35.03826666666666,9.571265772,40.65713443,9.700373894688958,-0.0927850342833038,MSD,1213,E,0
4127800,200911.0,26.81999999999999,15.980577876250004,25.92862089,26.4096553452898,-20.06485097862029,CKF,1214,E,0
4127800,201401.0,28.994755244755243,9.548006586,20.04216797,16.724697730400706,-5.700613703590712,CKF,1214,E,0
4127800,200301.0,17.38108843537413,8.724970571750001,16.81691718,19.20804740549784,-3.9151488009912807,MCL,1214,E,0
