Basin,index,method,PBIAS,CC,RMSE,ME,ME1,MAE,MAPE
2181900,P,P,10.466427153104629,0.980634486419745,15.333594359291796,10.359943483441809,48.78578523042897,12.194074553249719,16.23576037817571
2181900,P,CKF,9.007906433488632,0.9744667522851248,16.37670471238049,8.978798191691487,49.39448962538771,12.732453549164251,15.764800630087688
2181900,P,Pre,10.466427153104629,0.979706853279564,15.999376957387891,10.359943483441807,48.830363825330004,12.950827814718645,16.878439170298712
2181900,P,MSD,8.965251383421492,0.975086427756026,16.252341439246738,8.936280977593272,49.40063453224886,12.705417543157008,15.86308731468058
2181900,P,PR,8.643296682696533,0.9750130406529809,16.04054775426546,8.61536664461032,49.392814668381746,12.47250934272888,15.65042301687645
2181900,P,MCL,9.11183503661161,0.9759064600852262,16.12451370146727,9.08239095885395,49.39698820422162,12.64791229996886,15.913137996414072
2181900,E,ET,0.4459168333738839,0.8383036979829069,20.04223337593423,0.2515314224737295,27.084256868035713,14.009301513438876,33.496167615583005
2181900,E,CKF,12.303608769302517,0.8753333911261704,17.40074813115258,6.961642558317999,25.372804210996946,13.314262880414049,32.50349711643
2181900,E,MSD,12.771457510949862,0.8883296410991328,16.80833670891829,7.226361290177701,25.406732324229182,12.914703299929462,32.78214241256835
2181900,E,PR,10.118726132679743,0.8728447796894241,17.19615190302735,5.725389664289621,25.42504649008861,13.177358038431402,33.0804168320322
2181900,E,MCL,11.182665013190013,0.875795685980979,17.38450326789162,6.32738882802192,25.427773656169084,13.365208932958419,32.850667685520534
2181900,S,TWSC,4.1744385725905886e-14,0.9844630451060563,3.6792665389291743,1.8388068845354155e-16,17.021573732067107,2.655358642874961,46.197292220985126
2181900,S,CKF,205.56390150920907,0.9722736019942936,5.087376084076463,1.276797281588065,16.881958589745825,3.1471071058757554,50.43331726346369
2181900,S,MSD,258.8520999192723,0.9754774816362317,4.967889965269624,1.6077806223943605,16.864451021178645,3.1611451006634232,49.610134558154115
2181900,S,PR,177.4768268763665,0.9758250632681189,4.787232963516391,1.1023430107959342,16.886921726860155,3.153066954026964,49.50296853951992
2181900,S,MCL,206.76494567576418,0.975667859161186,4.865442375436067,1.284257199967052,16.87840013018199,3.163403236427002,50.49301953464812
4127800,P,P,5.881252437852158,0.9740594317239784,7.233564812913671,4.174536256978137,20.579114930560213,5.900327655480762,9.063823557906929
4127800,P,CKF,5.805213806289548,0.9520630149419919,9.597543509778134,4.163218164645616,21.06775789012575,7.6141644161303645,11.218318172905224
4127800,P,Pre,5.881252437852158,0.9704922619672025,8.354875004686622,4.174536256978138,20.923556085873187,6.919773873708124,10.833720344318943
4127800,P,MSD,5.417765263120498,0.9528030615557312,9.446360376849464,3.885046929673062,21.065539956058906,7.4940039914323435,11.277184785012286
4127800,P,PR,5.490456532867545,0.9576412749668808,9.007851905488527,3.9374894935077718,21.048811805721833,7.2391245884037945,10.842185611164782
4127800,P,MCL,5.6613908939252,0.9575209278833523,9.13879309571752,4.060075338002649,21.06968063520088,7.2906098031737825,10.886649861217869
4127800,E,ET,8.620083924159111,0.9343642839819898,17.75996199841388,4.671349065824394,35.862242637222096,13.384742702962114,45.88490414816839
4127800,E,CKF,8.394451464034313,0.9728047631165376,11.618649915650046,4.687883092611051,36.24290471007081,9.057964403788514,35.22050923699469
4127800,E,MSD,7.928518145147183,0.9734530087576573,11.45504748548947,4.42810621362838,36.26447398931541,8.773216623068247,32.99957404081573
4127800,E,PR,7.944618052976589,0.9738323068976908,11.56770593274851,4.436673534580488,36.26116863591644,9.084645882291884,35.27914345705091
4127800,E,MCL,7.995973923605914,0.974778635502944,11.418017764188775,4.465353230765643,36.25640606454649,8.91007891477336,33.33891066717854
4127800,S,TWSC,-4.2521541843143495e-14,0.9897302390229882,3.5665649698711945,1.5135462327897642e-16,20.92503782367084,2.3678004386485205,149.1727987857683
4127800,S,CKF,-28.151778237433724,0.9815345353392321,5.028719988724648,0.28921525179320723,21.222808500630798,2.980122099058581,380.6314286233831
4127800,S,MSD,-22.11037678419325,0.9843148568637107,4.627269805736164,0.23249560355486265,21.212978881615527,2.8036619488240526,269.4719688247243
4127800,S,PR,-17.360334416590668,0.9845120707859902,4.597610378723009,0.17835013643408998,21.199901321185102,2.827450120580381,494.6902152739682
4127800,S,MCL,-30.21334932768853,0.9826657419182914,4.911597797293905,0.31039465285728696,21.22896015500877,2.8918331320175823,347.6548311540641
6742900,P,P,-9.516536976031714,0.935721627245654,11.79888516920799,-6.20702737333811,22.969615847562807,9.843259277761227,18.51179006215861
6742900,P,CKF,-12.27806131553119,0.9165950878297302,14.25452521891621,-8.009164151008763,24.042237526700063,11.85937856735343,22.995086855984443
6742900,P,Pre,-9.516536976031716,0.922360761419295,14.656564023965748,-6.207027373338111,24.12507827524877,11.866062577707805,22.353651397370818
6742900,P,MSD,-13.32215597983262,0.9137313024975316,14.953445121745455,-8.690242811611686,24.41247146184707,12.464085311297195,24.23569920787646
6742900,P,PR,-12.450217508146977,0.9272206264408677,14.022267531508316,-8.12146422598301,24.22686197900679,11.634496883859132,22.699731857600902
6742900,P,MCL,-13.170482208935965,0.922045472540604,14.526606992735228,-8.59130372853534,24.425912407382278,12.241702782023557,23.68746975017728
6742900,E,ET,-6.170305767417698,0.9405658092840754,16.89017567934135,-3.0408197837123847,35.23830816855734,11.824679077903573,49.98676210867524
6742900,E,CKF,-6.956813865076619,0.957299273523802,12.352998330392682,-3.240720781738446,34.26747055123673,9.310262037744984,65.55445875942698
